Model,R2,CV,MAE,RMSE
Linear Regression,0.7696495724907312,0.7261624968764577,0.4523920089625977,1.804444509272284
Gradient Boosting,0.7460962314977675,0.7011354241673265,0.6838503439525263,1.8944519442205525
XGBoost,0.6968475580215454,0.6749443173408508,0.8516136407852173,2.070043812716572
Extra Trees,0.6903452671279213,0.649099489947858,1.0167624810892588,2.092126212916314
Random Forest,0.6730405506826795,0.6422071674516989,1.0753807362581946,2.1497896436281225
AdaBoost,-2.753883457717141,-0.8038816540007401,6.694740231093653,7.284326649062147
